rnx,flux
PLA2PC_HDE_STA_c,-7.03E-18
PLA2PC_EPA_STA_c,0
PLA2PC_HDE_GLNA_c,0.049756099
PLA2PC_EPA_GLNA_c,0.013341342
3OAS200_c,0.003753336
3OAR200_c,0.003753336
3HAD200_c,0.003753336
EAR200_c,0.003753336
3OAS220_c,0.003753336
3OAR220_c,0.003753336
3HAD220_c,0.003753336
EAR220_c,0.003753336
3OAS240_c,0.003753336
3OAR240_c,0.003753336
3HAD240_c,0.003753336
EAR240_c,0.003753336
ELO6ETA_c,-4.69E-18
ELO6DGLA_c,0.063097441
LPCAT_HDE_ETA_sn2_c,0
LPCAT_HDE_DGLA_sn2_c,0.050466999
LPCAT_EPA_ETA_sn2_c,-4.69E-18
LPCAT_EPA_DGLA_sn2_c,0.012630442
PCW3DS_HDE_ETA_sn2_c,0
PCW3DS_EPA_ETA_sn2_c,0
PCD5DS_HDE_ARA_sn2_c,0.050466999
PCD5DS_EPA_ARA_sn2_c,0.012630442
PCD5DS_HDE_EPA_sn2_c,0
PCD5DS_EPA_EPA_sn2_c,-4.69E-18
PCW3DS_HDE_EPA_sn2_c,0.050466999
PCW3DS_EPA_EPA_sn2_c,0.012630442
PLA2PC_HDE_EPA_c,0.050466999
PLA2PC_EPA_EPA_c,0
ELO5DPA_c,0.004457086
LPCAT_HDE_DPA_sn2_c,0
LPCAT_EPA_DPA_sn2_c,0.004457086
PCD4DS_HDE_DHA_sn2_c,0
PCD4DS_EPA_DHA_sn2_c,0.004457086
PLDPC_HDE_PALM_c,0
PLDPC_HDE_HDE_c,0
PLDPC_HDE_STC_c,0
PLDPC_HDE_OLE_c,0
PLDPC_HDE_EPA_c,0
PLDPC_HDE_DHA_c,0
PLDPC_EPA_PALM_c,0
PLDPC_EPA_HDE_c,0
PLDPC_EPA_STC_c,0
PLDPC_EPA_OLE_c,0
PLDPC_EPA_EPA_c,0
PLDPC_EPA_DHA_c,0
PLDPC_HDE_LNA_c,0
PLDPC_LNA_LNA_c,0
PLDPC_EPA_LNA_c,0
PLDPC_HDE_GLNA_c,0
PLDPC_EPA_GLNA_c,0
PLDPC_HDE_ALNA_c,0
PLDPC_EPA_ALNA_c,0
PLDPC_HDE_ARA_c,0
PLDPC_EPA_ARA_c,0
PAPA_HDE_LNA_c,0
PAPA_LNA_LNA_c,0.001993959
PAPA_EPA_LNA_c,0
PAPA_HDE_GLNA_c,0
PAPA_EPA_GLNA_c,0
PAPA_HDE_ALNA_c,0
PAPA_EPA_ALNA_c,0
PAPA_HDE_ARA_c,0
PAPA_EPA_ARA_c,0
CDPDAGS_HDE_PALM_c,0.002709337
DAGK_HDE_PALM_c,0.002709337
DAGK_HDE_HDE_c,0
DAGK_HDE_STC_c,0
DAGK_HDE_OLE_c,0
DAGK_HDE_EPA_c,0
DAGK_HDE_DHA_c,0
DAGK_OLE_PALM_c,0
DAGK_OLE_HDE_c,0
DAGK_OLE_STC_c,0
DAGK_OLE_OLE_c,0
DAGK_OLE_EPA_c,0
DAGK_OLE_DHA_c,0
DAGK_EPA_PALM_c,0
DAGK_EPA_HDE_c,0
DAGK_EPA_STC_c,0
DAGK_EPA_OLE_c,0
DAGK_EPA_EPA_c,0
DAGK_EPA_DHA_c,0
DAGK_DHA_PALM_c,0
DAGK_DHA_HDE_c,0
DAGK_DHA_STC_c,0
DAGK_DHA_OLE_c,0
DAGK_DHA_EPA_c,0
DAGK_DHA_DHA_c,0
DAGK_HDE_LNA_c,0
DAGK_LNA_LNA_c,0
DAGK_EPA_LNA_c,0
DAGK_HDE_GLNA_c,0
DAGK_EPA_GLNA_c,0
DAGK_HDE_ALNA_c,0
DAGK_EPA_ALNA_c,0
DAGK_HDE_ARA_c,0
DAGK_EPA_ARA_c,0
ETHAPT_EPA_EPA_c,0.002257781
CDIPT_HDE_PALM_c,0.002709337
CHOLt_m,0
CHOLK_m,0
PCHOLt_m,0
PIP4K_HDE_PALM_c,0
PIP3K_HDE_PALM_c,0
PIP3P_HDE_PALM_c,0
IPMK_c,0
IP52K_c,0
PLDPE_EPA_EPA_c,0
FACOAL_204_5Z8Z11Z14Z_c,0
PLA2PC_HDE_PALM_c,0
PLA2PC_HDE_HDE_c,0.000469167
PLA2PC_HDE_STC_c,0
PLA2PC_HDE_OLE_c,0
PLA2PC_HDE_DHA_c,0
PLA2PC_EPA_PALM_c,2.40E-17
PLA2PC_EPA_HDE_c,0
PLA2PC_EPA_STC_c,0
PLA2PC_EPA_OLE_c,0
PLA2PC_EPA_DHA_c,0.004457086
PLA2PC_HDE_LNA_c,0.003987919
PLA2PC_LNA_LNA_c,0
PLA2PC_EPA_LNA_c,0
PLA2PC_HDE_ALNA_c,0
PLA2PC_EPA_ALNA_c,0
PLA2PC_HDE_ARA_c,0
PLA2PC_EPA_ARA_c,0
PLA2PE_EPA_EPA_c,0
LPCAT_HDE_PALM_sn2_c,0
LPCAT_HDE_HDE_sn2_c,0
LPCAT_HDE_STC_sn2_c,0
LPCAT_HDE_OLE_sn2_c,0.054213185
LPCAT_HDE_LNA_sn2_c,0
LPCAT_HDE_ALNA_sn2_c,0
LPCAT_HDE_GLNA_sn2_c,0
LPCAT_HDE_EPA_sn2_c,0
LPCAT_HDE_DHA_sn2_c,0
LPCAT_HDE_ARA_sn2_c,0
LPCAT_LNA_LNA_sn2_c,0
LPCAT_EPA_PALM_sn2_c,0
LPCAT_EPA_HDE_sn2_c,0
LPCAT_EPA_STC_sn2_c,0
LPCAT_EPA_OLE_sn2_c,0
LPCAT_EPA_LNA_sn2_c,0
LPCAT_EPA_ALNA_sn2_c,0
LPCAT_EPA_GLNA_sn2_c,0
LPCAT_EPA_EPA_sn2_c,0
LPCAT_EPA_DHA_sn2_c,0
LPCAT_EPA_ARA_sn2_c,0
LPEAT_EPA_EPA_sn2_c,0
LPCH1619Z_sn1_c,0
LPCH1829Z12Z_sn1_c,0
LPCH2055Z8Z11Z14Z17Z_sn1_c,0
LPEH2055Z8Z11Z14Z17Z_sn1_c,0
GPCGPH_c,0
GPEGPH_c,0
ACOADAGAT_HDE_ARA_ARA_c,0
ACOADAGAT_OLE_HDE_OLE_c,0
ACOADAGAT_OLE_PALM_PALM_c,0
ACOADAGAT_DHA_EPA_ARA_c,0
ACOADAGAT_DHA_EPA_DHA_c,0
ACOADAGAT_OLE_EPA_DHA_c,0
ACOADAGAT_HDE_PALM_LNA_c,0
ACOADAGAT_OLE_PALM_HDE_c,0
